정류장명,위도,경도
원구암,35.9404085,127.1071571
폐지승강장,35.94106346,127.1701188
폐지승강장,35.94115429,127.16998
서두마을,35.94182208,127.1483986
서두마을,35.94191868,127.1485613
앞멀,35.94200004,127.2623678
봉동신진맨션아파트,35.94217268,127.1685887
앞멀,35.94220196,127.2623857
중앙공원,35.94370728,127.1274109
중앙공원,35.94334576,127.1251413
현대자동차,35.94360916,127.1369477
에스엠코어전주공장,35.94576854,127.125591
학다리마을,35.94369721,127.1722421
외환은행(공단),35.94395119,127.1267471
현대자동차,35.9438611,127.1346691
남악마을,35.94415409,127.2041157
남악마을,35.94419144,127.2039877
원구암마을,35.94474269,127.1046931
원구암마을,35.94483638,127.1044618
동아정밀공업,35.9462808,127.1394028
동아정밀공업,35.94628235,127.1396657
용화마을,35.94801632,127.1431027
용화마을,35.94801711,127.1432135
창피마을,35.9487754,127.1102682
은하리,35.94881332,127.1558763
창피마을,35.94891938,127.1101401
양화교회,35.94904807,127.2009881
은하리(삭제),35.94920935,127.1555159
은하리,35.94925723,127.1546492
구정마을,35.95083037,127.1117425
구정마을,35.95097624,127.1118702
명석마을,35.95188649,127.1856009
명석마을,35.9519516,127.1854252
율소리,35.95203064,127.180681
율소리,35.95215919,127.1806782
원내월마을,36.0151804,127.1399755
천호성지,36.0335332,127.1305191
천호성지,36.0333522,127.1303091
산시,36.0383795,127.145549
산시,36.0383782,127.1451161
대치,36.0425932,127.1528459
대치,36.0419042,127.151539
구중마을,36.0051538,127.1984639
구중마을,36.0051101,127.1990411
용봉,36.0408871,127.1789286
용봉,36.0410686,127.1793831
선동,36.0442357,127.167103
선동,36.0440298,127.1676146
원오산마을,35.9781789,127.2234787
원오산마을,35.9780934,127.2235345
동봉마을,35.9800365,127.2315587
동봉마을,35.9801716,127.231475
신당,35.9845002,127.2400909
신당,35.9843966,127.2401356
고산자연휴양림입구,35.9749999,127.2310212
고산자연휴양림입구,35.9752431,127.2309205
외율,35.9748898,127.1806092
외율,35.9747368,127.1807152
금곡,36.0025068,127.187932
금곡,36.0023714,127.1878771
test0817,35.9424961,127.2415512
삼례읍행정복지센터.삼례중입구,35.9131992,127.0769202
삼례읍행정복지센터.삼례중입구,35.91340427,127.0768733
서여마을,35.9168323,127.0755301
서여마을,35.9168726,127.0754579
삼례주공아파트,35.9187405,127.0784682
삼례주공아파트,35.9187809,127.0784126
모아엘가아파트,35.962892,127.1221527
대주코레스,35.9658213,127.1218837
LS엠트론엔진공장,35.9698397,127.1181823
기광산업,35.976099,127.1188731
봉동오투그란데,35.9948936,127.1301236
기광산업,35.976385,127.1189405
LS엠트론엔진공장,35.9698093,127.1179573
대주코레스,35.9657821,127.1217364
모아엘가아파트,35.9628886,127.1219443
삼중새터,35.8277417,127.2848462
삼중새터,35.8279038,127.284735
새만금항공,35.8221103,127.2819166
새만금항공,35.8222903,127.2817611
완주중,35.9356299,127.1599571
해전,35.901307,127.044488
해전,35.901142,127.044493
후상,35.9073213,127.0612249
후상,35.9074928,127.0612904
후정,35.9077629,127.0636606
후정,35.9077904,127.0637712
삼례문화예술촌,35.9069489,127.0654271
삼례문화예술촌,35.907048,127.0654044
신마산,35.82382495,127.0497904
낙성리입구,35.8150031,126.9891111
낙성리입구,35.81483493,126.9895823
낙성리입구,35.8148501,126.9891785
해교리입구,35.8317298,127.01792
해교리입구,35.8318104,127.0177977
우미린1차아파트,35.833293,127.061938
우미린1차아파트,35.833276,127.060801
기전대재활승마장,35.8246319,126.9969262
원평종점,35.7099699,126.991006
황토나라,35.84904738,127.2782861
팔복근린상가,35.853244,127.105325
화개네거리,35.85561051,127.0689319
신원삼거리,35.84234791,127.2857578
구봉동읍사무소,35.93646965,127.1616975
용암마을,35.95757381,127.1377149
옥동마을,35.97780164,127.1214545
후와마을,35.91378129,127.1076036
영광맨션,35.93304094,127.1677861
월드컵경기장입구,35.863863,127.068864
두억마을,35.89588831,127.1915004
신촌마을,35.89807174,127.1904144
신촌마을,35.89802615,127.1903374
가상정류장,35.6691756,127.1084076
가상정류장,35.6691205,127.1081095
대덕경로당,35.66154768,127.1091025
대덕경로당,35.6615761,127.10929
가상정류장,35.6689601,127.1087069
가상정류장,35.6688325,127.1082877
만성초등학교,35.83674,127.064669
혁신호반1차아파트,35.836357,127.064534
지방행정연수원,35.83543735,127.0249643
옥성골든카운티,35.76619097,127.0936967
전북대학교컨벤션센터,35.851166,127.121698
동촌마을,35.9198927,127.1591907
하이트맥주,35.92041312,127.1675288
하이트맥주,35.9205969,127.1684046
왕궁온천,35.92070432,127.0573932
지향마을,35.9204373,127.2698059
하이트맥주,35.92066951,127.1685883
지향마을,35.92053338,127.2696703
왕궁온천,35.9208612,127.057481
하이트맥주,35.92086102,127.1681972
석전리,35.92130611,127.1049187
청등마을입구,35.92180055,127.1078952
청등마을입구,35.92212414,127.1078067
신성마을,35.92209853,127.1613314
신성마을,35.92223197,127.161258
삼봉행복주택아파트,35.92367689,127.1142459
농원1구,35.92339396,127.0924749
농원1구,35.92343856,127.0926187
익산더반포레아파트,35.9241455,127.0537551
익산더반포레정문,35.9237561,127.0532862
묵계,35.92435977,127.3060352
묵계,35.92442736,127.3061813
원성덕,35.92490224,127.1531828
